             x   	rho	        ux             p
  -0.29150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.29050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.28050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.27050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.26050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.25050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.24050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.23050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.22050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.21050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.20050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.19050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.18050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.17050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.16050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.15050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.14050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.13050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.12050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.11050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10950E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10850E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10750E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10650E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10550E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10450E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10350E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10250E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10150E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.10050E+00   0.59992E+01   0.19597E+02   0.46089E+03
  -0.99500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.98500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.97500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.96500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.95500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.94500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.93500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.92500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.91500E-01   0.59992E+01   0.19597E+02   0.46089E+03
  -0.90500E-01   0.59992E+01   0.19597E+02   0.46089E+03
